해구번호,유의파고(m),파향(deg),최대파주기(sec),풍속(m/s),풍향(deg)
    1,     1.2,    149,     7.7,     6.6,    150
    2,     1.3,    121,     7.6,     3.4,    211
    3,     1.3,    122,     7.6,     4.1,    213
    4,     1.4,    123,     7.6,     3.1,    179
    5,     1.5,    123,     7.5,     5.7,    146
    6,     1.2,     99,     7.5,     0.8,    226
    7,     1.4,    109,     7.6,     4.2,    208
    8,     1.4,    110,     7.5,     5.1,    199
    9,     1.4,    109,     7.5,     3.4,    193
   10,     1.4,    109,     7.4,     3.4,    185
   11,     1.2,     95,     7.5,     2.5,    200
   12,     1.4,    108,     7.5,     5.5,    203
   13,     1.4,    106,     7.5,     4.5,    212
   14,     1.4,     99,     7.4,     3.2,    201
   15,     1.4,     99,     7.3,     3.0,    192
   16,     1.0,    105,     7.2,     4.0,    222
   17,     1.2,     96,     7.4,     5.5,    232
   18,     1.3,     96,     7.5,     5.2,    230
   19,     1.3,     93,     7.5,     4.1,    240
   20,     1.3,     93,     7.4,     3.2,    226
   21,     1.4,     93,     7.3,     2.5,    197
   22,     0.9,     93,     7.1,     5.7,    219
   23,     1.1,     88,     7.3,     6.6,    225
   24,     1.2,     87,     7.4,     6.5,    231
   25,     1.2,     88,     7.4,     5.6,    244
   26,     1.3,     87,     7.4,     4.5,    258
   27,     1.3,     87,     7.4,     3.3,    254
   28,     1.3,     88,     7.3,     2.2,    208
   29,     0.7,     86,     7.2,     2.8,    205
   30,     0.8,     79,     7.2,     4.8,    202
   31,     1.0,     76,     7.1,     5.3,    207
   32,     1.1,     78,     7.1,     5.5,    222
   33,     1.1,     80,     7.2,     5.5,    239
   34,     1.2,     80,     7.3,     5.6,    255
   35,     1.2,     79,     7.3,     5.2,    263
   36,     1.3,     80,     7.3,     3.6,    274
   37,     1.3,     80,     7.2,     2.0,    242
   38,     0.7,     64,     7.5,     2.3,    160
   39,     0.9,     64,     7.5,     3.5,    168
   40,     0.9,     66,     7.3,     3.5,    192
   41,     1.0,     69,     7.1,     3.4,    231
   42,     1.1,     71,     7.2,     4.8,    264
   43,     1.1,     71,     7.2,     5.5,    274
   44,     1.2,     71,     7.2,     5.2,    274
   45,     1.2,     69,     7.2,     4.4,    281
   46,     1.2,     70,     7.2,     3.3,    279
   47,     0.9,     55,     7.5,     3.1,    144
   48,     0.9,     56,     7.5,     3.4,    181
   49,     1.0,     59,     7.4,     3.0,    244
   50,     1.0,     62,     7.2,     4.4,    276
   51,     1.1,     62,     7.2,     5.2,    289
   52,     1.1,     61,     7.2,     5.1,    296
   53,     1.1,     58,     7.2,     4.7,    299
   54,     1.2,     63,     7.2,     3.8,    295
   55,     0.9,     47,     7.6,     2.2,    184
   56,     0.9,     51,     7.5,     2.5,    239
   57,     1.0,     56,     7.5,     3.9,    275
   58,     1.1,     59,     7.5,     4.6,    283
   59,     1.1,     58,     7.5,     4.7,    298
   60,     1.1,     61,     7.3,     4.0,    308
   61,     1.3,     95,     7.3,     2.7,    309
   62,     0.8,     41,     7.6,     1.4,    195
   63,     0.9,     48,     7.6,     1.3,    211
   64,     1.1,     74,     7.5,     2.6,    282
   65,     1.2,    104,     7.5,     3.9,    294
   66,     1.2,    107,     7.5,     3.5,    298
   67,     1.3,    149,     7.5,     1.8,    321
   68,     1.4,    193,     7.5,     2.4,    330
   69,     0.9,     45,     7.6,     0.9,    155
   70,     1.2,     99,     7.5,     1.7,    289
   71,     1.3,    154,     7.4,     3.0,    300
   72,     1.4,    186,     7.3,     2.6,    299
   73,     1.5,    199,     7.4,     2.2,    309
   74,     1.6,    213,     7.4,     2.1,    318
   75,  -999.0,   -999,  -999.0,  -999.0,   -999
   76,     1.1,    116,     7.3,     2.1,    319
   77,     1.3,    179,     7.2,     3.9,    317
   78,     1.5,    199,     7.2,     3.7,    317
   79,     1.6,    212,     7.2,     3.1,    312
   80,     1.7,    221,     7.2,     2.4,    279
   81,     0.5,     49,     7.8,     1.0,    261
   82,     1.1,    139,     7.5,     3.3,    294
   83,     1.4,    195,     7.5,     4.7,    296
   84,     1.6,    211,     7.3,     3.8,    287
   85,     1.7,    221,     7.1,     4.7,    258
   86,     1.9,    227,     7.1,     8.9,    228
   87,     1.3,    187,     7.8,     2.9,    280
   88,     1.6,    206,     7.6,     4.6,    260
   89,     1.7,    216,     7.2,     6.7,    239
   90,     1.8,    224,     7.0,     9.4,    224
   91,     2.0,    231,     6.9,    10.7,    223
   92,     1.3,    199,     8.0,     5.7,    234
   93,     1.5,    208,     7.8,     6.7,    238
   94,     1.6,    212,     6.9,     7.3,    234
   95,     1.9,    220,     7.0,     8.5,    221
   96,     2.0,    230,     7.0,     9.8,    219
   97,     0.5,    172,     7.0,     3.7,    259
   98,     0.9,    202,     7.1,     5.1,    256
   99,     1.2,    198,     7.6,     5.9,    246
  100,     1.5,    216,     8.1,     6.8,    242
  101,     1.2,    205,     6.5,     7.2,    235
  102,     1.7,    220,     6.7,     7.7,    224
  103,     1.9,    232,     6.9,     8.7,    218
  104,     1.2,    193,     7.5,     3.6,    255
  105,     1.6,    208,     7.7,     5.1,    253
  106,     1.8,    217,     7.9,     6.6,    244
  107,     1.6,    221,     7.8,     7.2,    235
  108,     1.6,    225,     8.1,     7.7,    227
  109,     1.6,    236,     6.8,     8.3,    224
  110,     1.6,    207,     7.6,     2.7,    245
  111,     1.7,    216,     7.7,     4.1,    242
  112,     1.8,    225,     7.8,     5.4,    237
  113,     1.6,    211,     7.6,     3.7,    213
  114,     1.7,    219,     7.6,     3.5,    214
  115,     1.7,    216,     7.5,     3.5,    191
  116,     0.5,    168,     7.7,     1.7,    213
  117,     0.8,    181,     7.7,     2.1,    179
  118,     0.7,    192,     7.7,     3.5,    164
  119,     0.5,    171,     7.6,     4.2,    209
  120,     0.7,    176,     7.7,     3.7,    222
  121,     0.9,    184,     7.7,     2.6,    193
  122,     0.8,    196,     7.7,     4.3,    164
  123,     0.6,    211,     5.7,     5.8,    181
  124,     0.4,    232,     4.5,     5.5,    167
  125,     0.8,    213,     6.3,     6.8,    231
  126,     0.9,    187,     7.6,     6.1,    227
  127,     0.9,    184,     7.6,     4.5,    208
  128,     1.0,    190,     7.7,     2.9,    189
  129,     0.9,    198,     7.6,     3.7,    153
  130,     0.6,    224,     5.6,     4.9,    161
  131,     0.5,    267,     4.6,     6.7,    227
  132,     0.6,    243,     5.4,     5.9,    223
  133,     0.8,    190,     7.5,     4.7,    217
  134,     0.9,    187,     7.7,     3.4,    208
  135,     1.0,    189,     7.8,     1.3,    188
  136,     0.9,    193,     7.8,     1.3,    129
  137,     0.6,    218,     6.2,     4.4,    141
  138,     0.2,    307,     4.9,     4.8,    215
  139,     0.3,    291,     5.4,     3.7,    209
  140,     0.8,    184,     8.2,     3.7,    222
  141,     1.0,    181,     8.1,     2.1,    229
  142,     1.1,    185,     8.2,     1.1,    301
  143,     1.0,    187,     8.2,     1.6,    265
  144,     0.9,    193,     8.0,     4.8,    179
  145,     0.8,    200,     8.0,     8.5,    156
  146,     0.7,    196,     5.9,     9.9,    158
  147,     0.9,    159,     7.9,     2.9,    236
  148,     1.2,    176,     7.8,     2.5,    250
  149,     1.2,    182,     7.9,     3.1,    257
  150,     1.2,    185,     7.9,     4.8,    231
  151,     1.1,    191,     7.9,     7.5,    201
  152,     1.0,    197,     7.9,     9.0,    168
  153,     0.7,    209,     7.9,     9.8,    158
  154,     0.2,    229,     6.4,     7.7,    162
  155,     0.8,    163,     7.7,     4.4,    250
  156,     0.9,    167,     7.7,     3.1,    231
  157,     1.1,    171,     7.7,     2.9,    240
  158,     1.2,    178,     7.7,     4.0,    247
  159,     1.3,    183,     7.8,     5.6,    242
  160,     1.3,    190,     7.8,     6.8,    236
  161,     1.3,    196,     7.8,     8.6,    209
  162,     1.2,    200,     7.9,     9.1,    186
  163,     0.8,    208,     7.8,     8.0,    161
  164,     0.3,    226,     6.8,     6.6,    161
  165,     0.9,    160,     7.6,     3.7,    227
  166,     1.1,    168,     7.6,     3.6,    235
  167,     1.2,    174,     7.7,     3.6,    247
  168,     1.3,    181,     7.7,     5.0,    260
  169,     1.4,    187,     7.7,     6.1,    251
  170,     1.4,    193,     7.7,     7.2,    223
  171,     1.4,    199,     7.8,     8.8,    209
  172,     1.3,    204,     7.8,     9.0,    195
  173,     0.9,    210,     7.7,     7.9,    183
  174,     0.4,    231,     7.1,     6.8,    165
  175,     0.9,    161,     7.3,     3.6,    244
  176,     1.1,    169,     7.5,     3.4,    251
  177,     1.3,    177,     7.6,     4.0,    241
  178,     1.4,    185,     7.6,     5.4,    235
  179,     1.4,    190,     7.6,     6.7,    231
  180,     1.4,    194,     7.7,     7.5,    223
  181,     1.4,    200,     7.7,     8.0,    209
  182,     1.3,    207,     7.7,     8.1,    202
  183,     0.9,    217,     7.7,     7.3,    191
  184,     0.4,    251,     5.7,     5.4,    186
  185,     0.9,    165,     7.1,     5.3,    251
  186,     1.1,    170,     7.3,     4.9,    235
  187,     1.3,    179,     7.4,     5.5,    234
  188,     1.4,    187,     7.5,     6.3,    232
  189,     1.4,    190,     7.6,     6.8,    229
  190,     1.4,    194,     7.6,     7.1,    219
  191,     1.4,    199,     7.7,     6.9,    210
  192,     1.1,    207,     7.7,     6.4,    206
  193,     0.8,    219,     7.6,     5.7,    183
  194,     0.2,    271,     5.1,     4.3,    186
  195,     0.9,    167,     7.0,     4.5,    243
  196,     1.0,    167,     7.1,     4.7,    228
  197,     1.2,    175,     7.3,     5.5,    229
  198,     1.3,    183,     7.5,     6.1,    234
  199,     1.3,    187,     7.5,     6.1,    220
  200,     1.4,    190,     7.6,     6.0,    210
  201,     1.3,    193,     7.6,     5.2,    208
  202,     1.0,    200,     7.6,     4.0,    199
  203,     0.7,    204,     7.6,     3.3,    159
  204,     0.0,    252,     5.4,     2.5,    170
  205,     1.0,    166,     7.2,     4.6,    215
  206,     1.1,    172,     7.3,     5.1,    212
  207,     1.2,    177,     7.3,     5.0,    206
  208,     1.2,    181,     7.4,     4.4,    198
  209,     1.2,    186,     7.5,     3.6,    194
  210,     1.1,    189,     7.5,     2.8,    173
  211,     1.1,    197,     7.6,     2.4,    148
  212,     0.7,    203,     7.6,     1.6,    131
  213,     0.4,    181,     6.7,     0.6,    166
  214,     0.6,    180,     7.0,     1.9,    249
  215,     0.9,    157,     7.0,     3.9,    197
  216,     1.0,    164,     7.1,     3.9,    195
  217,     1.1,    171,     7.1,     3.7,    191
  218,     1.2,    176,     7.2,     3.2,    180
  219,     1.2,    181,     7.2,     2.7,    159
  220,     1.3,    186,     7.3,     2.8,    135
  221,     1.3,    195,     7.4,     2.2,    141
  222,     0.9,    216,     7.4,     1.2,    177
  223,     0.5,    215,     6.0,     0.5,    158
  224,     1.2,    190,     7.3,     1.2,    221
  225,     0.8,    152,     6.9,     2.7,    191
  226,     1.0,    161,     6.9,     3.0,    172
  227,     1.1,    169,     7.0,     3.0,    160
  228,     1.2,    175,     7.0,     2.3,    148
  229,     1.2,    181,     7.0,     2.1,    116
  230,     1.3,    186,     7.1,     2.2,    105
  231,     1.3,    192,     7.2,     2.4,    129
  232,     1.3,    202,     7.3,     2.1,    147
  233,     1.4,    197,     7.4,     2.7,    200
  234,     1.5,    204,     7.5,     3.6,    210
  235,     0.8,    149,     6.6,     2.0,    156
  236,     1.0,    160,     6.7,     2.4,    151
  237,     1.1,    169,     6.8,     2.3,    134
  238,     1.2,    176,     6.9,     2.0,    127
  239,     1.2,    182,     6.9,     2.0,    130
  240,     1.3,    188,     6.9,     2.2,    134
  241,     1.3,    194,     7.0,     2.2,    146
  242,     1.4,    199,     7.1,     2.6,    156
  243,     1.5,    205,     7.2,     3.2,    169
  244,     1.6,    210,     7.4,     3.5,    177
  245,     0.8,    146,     6.5,     2.4,    133
  246,     1.0,    159,     6.5,     2.2,    124
  247,     1.1,    169,     6.6,     2.1,    126
  248,     1.2,    177,     6.7,     2.0,    125
  249,     1.2,    184,     6.8,     2.0,    133
  250,     1.3,    190,     6.9,     2.0,    154
  251,     1.3,    197,     6.9,     3.1,    178
  252,     1.4,    203,     7.0,     4.1,    183
  253,     1.5,    209,     7.0,     4.4,    197
  254,     1.6,    215,     7.1,     5.0,    213
  258,     1.0,     76,     8.6,     1.8,     41
  259,     1.0,     74,     8.6,     1.9,     37
  260,     1.0,     73,     8.6,     2.4,     33
  261,     1.0,     73,     8.6,     2.4,     16
  262,     1.0,     73,     8.6,     2.6,      3
  263,     1.0,     73,     8.6,     3.0,      9
  264,     1.0,     77,     8.6,     2.4,     37
  265,     1.0,     76,     8.6,     2.9,     36
  266,     1.0,     75,     8.6,     3.2,     31
  267,     1.0,     74,     8.7,     3.2,     26
  268,     1.0,     74,     8.7,     3.1,     27
  269,     1.0,     74,     8.7,     2.5,     26
  270,     0.9,     78,     8.6,     3.0,     41
  271,     0.9,     78,     8.6,     3.5,     38
  272,     0.9,     77,     8.6,     3.8,     36
  273,     0.9,     76,     8.7,     3.1,     42
  274,     0.9,     76,     8.7,     2.5,     34
  275,     0.9,     75,     8.7,     2.2,     28
  276,     0.9,     80,     8.6,     3.5,     48
  277,     0.9,     79,     8.6,     3.7,     42
  278,     0.9,     78,     8.6,     2.7,     46
  279,     0.9,     78,     8.7,     2.2,     37
  280,     0.9,     77,     8.7,     2.2,     33
  281,     0.9,     77,     8.7,     2.6,     36
  282,     0.9,     83,     8.6,     3.7,     54
  283,     0.9,     81,     8.6,     3.2,     53
  284,     0.9,     80,     8.6,     2.9,     48
  285,     0.9,     79,     8.6,     2.7,     38
  286,     0.9,     79,     8.6,     3.0,     35
  287,     0.9,     79,     8.7,     2.6,     47
  288,     0.9,     86,     8.6,     3.9,     58
  289,     0.9,     85,     8.6,     3.8,     58
  290,     0.9,     84,     8.6,     3.5,     55
  291,     0.9,     84,     8.6,     3.3,     48
  292,     0.9,     84,     8.6,     3.0,     47
  293,     0.9,     83,     8.6,     3.0,     51
  294,     1.0,     89,     8.6,     4.3,     61
  295,     1.0,     89,     8.6,     4.3,     61
  296,     1.0,     89,     8.6,     4.0,     56
  297,     1.0,     88,     8.6,     3.5,     53
  298,     1.0,     88,     8.6,     3.4,     53
  299,     1.0,     87,     8.6,     3.6,     58
  302,     1.1,    155,     7.8,     5.8,    136
  303,     1.1,    156,     7.9,     4.5,    121
  304,     1.3,    132,     7.8,     3.7,    112
  305,     1.4,    115,     7.8,     2.8,    105
  306,     1.4,    121,     7.4,     5.2,    141
  307,     1.5,    115,     7.5,     4.1,    130
  308,     1.5,    103,     7.6,     4.0,    106
  309,     1.6,     97,     7.7,     3.6,     93
  310,     1.4,    109,     7.3,     4.5,    130
  311,     1.5,    104,     7.2,     4.4,    124
  312,     1.5,     96,     7.4,     3.7,    113
  313,     1.6,     89,     7.6,     3.6,     93
  314,     1.4,    101,     7.2,     3.2,    147
  315,     1.4,     98,     7.1,     2.5,    131
  316,     1.5,     94,     7.2,     2.9,    109
  317,     1.6,     86,     7.5,     2.9,    100
  318,     1.4,     93,     7.2,     2.3,    142
  319,     1.4,     92,     7.1,     2.2,    104
  320,     1.4,     93,     7.1,     2.2,     78
  321,     1.5,     86,     7.3,     2.8,     59
  322,     1.3,     88,     7.2,     2.1,    191
  323,     1.4,     91,     7.2,     0.6,    188
  324,     1.4,     94,     7.2,     0.6,     40
  325,     1.4,     85,     7.2,     1.2,     44
  326,     1.3,     85,     7.1,     1.7,    186
  327,     1.3,     96,     7.2,     0.5,    136
  328,     1.4,     97,     7.2,     1.4,     87
  329,     1.4,    102,     7.3,     2.2,     98
  330,     1.3,     81,     7.1,     0.4,    179
  331,     1.3,     99,     7.1,     1.6,    116
  332,     1.3,    146,     7.1,     3.6,     81
  333,     1.3,    217,     7.2,     4.8,     63
  334,     1.3,     78,     7.1,     2.3,    290
  335,     1.3,    135,     7.1,     1.4,    274
  336,     1.3,    205,     7.1,     0.6,    298
  337,     1.4,    218,     7.0,     3.2,    250
  338,     1.3,    142,     7.2,     2.8,    300
  339,     1.3,    208,     7.2,     3.0,    285
  340,     1.4,    222,     7.1,     3.4,    268
  341,     1.4,    228,     7.0,     4.4,    249
  342,     1.4,    212,     7.4,     2.7,    324
  343,     1.4,    227,     7.3,     2.8,    300
  344,     1.4,    236,     7.3,     3.6,    252
  345,     1.4,    239,     7.1,     6.7,    215
  346,     1.5,    225,     7.4,     2.3,    308
  347,     1.5,    235,     7.5,     4.2,    243
  348,     1.4,    241,     7.4,     7.0,    216
  349,     1.4,    245,     7.5,     8.5,    204
  350,     1.7,    229,     7.3,     6.3,    231
  351,     1.7,    235,     7.2,     8.1,    221
  352,     1.6,    243,     7.3,     8.1,    216
  353,     1.2,    257,     7.6,     7.9,    217
  354,     2.0,    232,     7.1,    10.0,    225
  355,     2.0,    240,     7.0,     9.5,    218
  356,     1.2,    250,     6.7,     7.3,    217
  357,     0.8,    271,     7.9,     4.8,    217
  358,     1.9,    240,     6.9,    10.4,    227
  359,     1.6,    254,     7.0,     8.5,    221
  360,     0.9,    273,     7.1,     5.4,    216
  361,     0.6,    296,     7.7,     3.0,    203
  362,     1.8,    241,     7.0,     9.5,    226
  363,     1.4,    256,     7.0,     7.9,    231
  365,     1.5,    248,     7.4,     8.3,    222
  366,     1.2,    257,     7.5,     7.0,    226
  367,     1.3,    253,     6.4,     7.7,    229
  368,     1.7,    232,     8.0,     6.0,    231
  369,     1.1,    244,     6.8,     6.5,    222
  370,     0.7,    251,     5.0,     5.7,    227
  371,     1.7,    232,     7.7,     3.9,    217
  372,     1.0,    223,     6.5,     4.8,    217
  374,     1.7,    221,     7.5,     3.6,    209
  375,     1.4,    231,     7.3,     3.8,    222
  376,     1.4,    214,     7.0,     3.7,    217
  377,     1.5,    227,     7.6,     3.9,    202
  378,     1.7,    220,     7.3,     5.6,    221
  379,     1.8,    226,     7.4,     6.0,    223
  380,     1.8,    227,     7.4,     6.1,    224
  381,     1.8,    231,     7.5,     5.5,    221
  382,     1.7,    237,     7.7,     4.9,    205
  384,     0.0,    245,     3.1,     2.4,    182
  385,     0.0,    139,     5.7,     2.4,    183
  386,     0.0,    157,     3.7,     3.0,    210
  387,     0.2,    204,     4.9,     2.7,    226
  388,     0.1,    138,     8.7,     1.1,    309
  389,     0.6,    185,     7.2,     2.7,    287
  390,     1.1,    207,     6.5,     5.4,    263
  391,     0.0,    184,     3.2,     3.5,    210
  392,     0.0,    220,     3.1,     1.5,    173
  393,     0.0,    346,     3.5,     2.2,    151
  394,     0.1,    306,     3.2,     2.2,    178
  395,     0.0,    130,     7.8,     1.7,    166
  396,     0.3,    164,     5.4,     0.9,    246
  397,     0.3,    202,     5.6,     2.7,    205
  398,     0.7,    159,     8.9,     1.0,    214
  399,     0.9,    187,     6.4,     2.2,    250
  400,     1.1,    205,     6.3,     3.4,    248
  401,     0.8,    165,     6.0,     3.9,    221
  402,     0.9,    160,     7.1,     4.1,    216
  403,     0.6,    158,     6.4,     3.4,    226
  404,     0.8,    153,     6.9,     3.6,    195
  405,     0.5,    133,     6.5,     3.0,    196
  406,     0.7,    141,     6.7,     2.8,    183
  407,     0.6,    134,     6.5,     1.5,    164
  408,     0.5,    126,     6.4,     2.5,    139
  409,     1.3,    218,     6.4,     5.0,    253
  410,     0.1,    149,     3.0,     1.9,    213
  411,     0.0,    111,     3.5,     3.4,    237
  412,     0.2,    139,     3.4,     2.7,    196
  413,     0.1,    185,     4.7,     3.7,    183
  414,     0.0,    222,     3.7,     1.5,    189
  415,     1.0,    191,     5.6,     3.9,    226
  416,     1.1,    211,     5.7,     3.8,    238
  417,     0.9,    186,     7.4,     5.5,    236
  418,     1.3,    214,     6.0,     7.0,    249
  419,     1.5,    227,     6.1,     6.9,    256
  420,     1.6,    235,     6.3,     8.0,    263
  421,     0.4,    177,     5.1,     3.4,    144
  422,     1.0,    180,     5.4,     3.3,    227
  423,     1.1,    192,     6.0,     6.3,    233
  424,     1.2,    203,     5.7,     7.2,    236
  425,     1.3,    212,     5.8,     7.4,    243
  426,     1.2,    214,     5.9,     7.2,    247
  427,     1.3,    219,     6.0,     8.2,    249
  428,     1.4,    228,     6.1,     8.5,    255
  429,     1.5,    235,     6.1,     8.8,    259
  430,     1.6,    243,     6.1,     9.1,    259
  432,     1.0,    173,     5.7,     5.3,    217
  433,     1.0,    183,     5.1,     4.7,    224
  434,     1.1,    176,     5.9,     5.0,    223
  435,     1.1,    192,     5.3,     5.7,    229
  436,     1.2,    202,     5.5,     6.5,    241
  437,     1.2,    208,     5.7,     6.6,    246
  438,     1.2,    212,     5.8,     6.7,    246
  439,     1.3,    218,     5.8,     7.0,    249
  440,     1.3,    225,     6.0,     8.0,    253
  441,     1.4,    233,     6.1,     8.6,    255
  442,     1.5,    239,     6.1,     8.8,    255
  443,     1.6,    246,     6.1,     8.7,    252
  444,     0.8,    131,     8.9,     6.9,    215
  445,     1.0,    158,     8.9,     7.9,    224
  446,     1.1,    178,     8.6,     7.5,    228
  447,     1.1,    188,     8.7,     6.9,    235
  448,     1.1,    197,     8.7,     6.5,    243
  449,     1.2,    205,     8.0,     6.3,    248
  450,     1.2,    211,     7.8,     6.1,    250
  451,     1.2,    218,     7.7,     6.3,    252
  452,     1.3,    223,     8.1,     6.9,    252
